image,dataset,group_id,split,has_polyp,n_small
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/117.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/118.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/119.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/12.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/120.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/121.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/122.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/123.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/124.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/125.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/126.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/127.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/128.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/129.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/13.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/130.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/131.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/132.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/133.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/134.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/135.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/136.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/137.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/138.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/139.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/14.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/140.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/141.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/142.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/143.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/144.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/145.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/146.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/147.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/148.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/149.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/15.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/150.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/151.png,CVC-ClinicDB,cvc_seq_7,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/152.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/153.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/154.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/155.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/156.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/157.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/158.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/159.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/16.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/160.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/161.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/162.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/163.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/164.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/165.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/166.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/167.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/168.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/169.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/17.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/170.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/171.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/172.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/173.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/174.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/175.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/176.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/177.png,CVC-ClinicDB,cvc_seq_8,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/178.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/179.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/18.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/180.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/181.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/182.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/183.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/184.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/185.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/186.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/187.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/188.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/189.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/19.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/190.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/191.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/192.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/193.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/194.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/195.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/196.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/197.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/198.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/199.png,CVC-ClinicDB,cvc_seq_9,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/2.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/20.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/200.png,CVC-ClinicDB,cvc_seq_10,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/201.png,CVC-ClinicDB,cvc_seq_10,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/202.png,CVC-ClinicDB,cvc_seq_10,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/203.png,CVC-ClinicDB,cvc_seq_10,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/204.png,CVC-ClinicDB,cvc_seq_10,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/205.png,CVC-ClinicDB,cvc_seq_10,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/206.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/207.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/208.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/209.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/21.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/210.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/211.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/212.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/213.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/214.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/215.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/216.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/217.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/218.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/219.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/22.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/220.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/221.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/222.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/223.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/224.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/225.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/226.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/227.png,CVC-ClinicDB,cvc_seq_11,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/228.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/229.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/23.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/230.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/231.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/232.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/233.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/234.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/235.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/236.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/237.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/238.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/239.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/24.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/240.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/241.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/242.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/243.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/244.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/245.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/246.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/247.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/248.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/249.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/25.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/250.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/251.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/252.png,CVC-ClinicDB,cvc_seq_12,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/253.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/254.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/255.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/256.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/257.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/258.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/259.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/26.png,CVC-ClinicDB,cvc_seq_2,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/260.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/261.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/262.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/263.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/264.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/265.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/266.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/267.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/268.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/269.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/27.png,CVC-ClinicDB,cvc_seq_2,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/270.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/271.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/272.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/273.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/274.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/275.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/276.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/277.png,CVC-ClinicDB,cvc_seq_13,val,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/278.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/279.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/28.png,CVC-ClinicDB,cvc_seq_2,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/280.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/281.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/282.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/283.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/284.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/285.png,CVC-ClinicDB,cvc_seq_14,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/286.png,CVC-ClinicDB,cvc_seq_14,train,1,0
