dataset,image,group_id,polyp_idx,xmin,ymin,xmax,ymax,img_h,img_w,seg_area_native,seg_area_640,bbox_area_640,rel_area_pct,size_coco,size_coco_native,size_clinical,diam_px_640
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/117.png,cvc_seq_6,0,167,12,311,259,288,384,13632,37867,99889,12.326,large,large,large,219.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/118.png,cvc_seq_6,0,156,11,318,271,288,384,15539,43164,118175,14.051,large,large,large,234.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/119.png,cvc_seq_6,0,259,12,355,276,288,384,12854,35706,71403,11.623,large,large,large,213.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/12.png,cvc_seq_1,0,40,43,212,278,288,384,25549,70969,113411,23.102,large,large,large,300.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/120.png,cvc_seq_6,0,242,13,336,279,288,384,16916,46989,70458,15.296,large,large,large,244.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/121.png,cvc_seq_6,0,239,12,339,280,288,384,17093,47481,75469,15.456,large,large,large,245.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/122.png,cvc_seq_6,0,251,11,356,280,288,384,16859,46831,79500,15.244,large,large,large,244.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/123.png,cvc_seq_6,0,256,12,355,279,288,384,15367,42686,74444,13.895,large,large,large,233.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/124.png,cvc_seq_6,0,245,13,355,278,288,384,16894,46928,82017,15.276,large,large,large,244.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/125.png,cvc_seq_6,0,254,14,339,190,288,384,10385,28847,42283,9.39,large,large,large,191.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/126.png,cvc_seq_6,0,256,11,336,190,288,384,10540,29278,40500,9.531,large,large,large,193.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/127.png,cvc_seq_7,0,219,200,315,271,288,384,5122,14228,19400,4.631,large,medium,medium,134.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/128.png,cvc_seq_7,0,213,182,318,258,288,384,6174,17150,22672,5.583,large,medium,medium,147.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/129.png,cvc_seq_7,0,206,137,322,226,288,384,7910,21972,29250,7.152,large,medium,medium,167.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/13.png,cvc_seq_1,0,40,151,221,279,288,384,13995,38875,65217,12.655,large,large,large,222.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/130.png,cvc_seq_7,0,126,79,260,179,288,384,10263,28508,37875,9.28,large,large,medium,190.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/131.png,cvc_seq_7,0,115,66,250,165,288,384,10576,29378,37778,9.563,large,large,medium,193.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/132.png,cvc_seq_7,0,61,179,153,248,288,384,5361,14892,18083,4.848,large,medium,medium,137.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/133.png,cvc_seq_7,0,102,173,219,253,288,384,7692,21367,26550,6.955,large,medium,medium,164.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/134.png,cvc_seq_7,0,172,192,287,270,288,384,7122,19783,25456,6.44,large,medium,medium,158.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/135.png,cvc_seq_7,0,207,117,355,279,288,384,15832,43978,67464,14.316,large,large,large,236.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/136.png,cvc_seq_7,0,150,183,312,279,288,384,13410,37250,43919,12.126,large,large,large,217.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/137.png,cvc_seq_7,0,184,187,338,279,288,384,11670,32417,40042,10.552,large,large,large,203.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/138.png,cvc_seq_7,0,190,130,352,270,288,384,17963,49897,63842,16.243,large,large,large,252.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/139.png,cvc_seq_7,0,173,100,345,248,288,384,20378,56606,71603,18.426,large,large,large,268.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/14.png,cvc_seq_1,0,42,149,329,279,288,384,23198,64439,104800,20.976,large,large,large,286.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/140.png,cvc_seq_7,0,150,62,336,217,288,384,22799,63331,81033,20.615,large,large,large,284.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/141.png,cvc_seq_7,0,145,12,354,186,288,384,29183,81064,102083,26.388,large,large,large,321.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/142.png,cvc_seq_7,0,43,40,218,224,288,384,24563,68231,90444,22.21,large,large,large,294.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/143.png,cvc_seq_7,0,295,153,355,253,288,384,4556,12656,17114,4.12,large,medium,medium,126.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/144.png,cvc_seq_7,0,197,105,350,241,288,384,16500,45833,58606,14.92,large,large,large,241.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/145.png,cvc_seq_7,0,64,47,251,202,288,384,22541,62614,81467,20.382,large,large,large,282.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/146.png,cvc_seq_7,0,52,14,238,171,288,384,22442,62339,82072,20.293,large,large,large,281.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/147.png,cvc_seq_7,0,94,102,238,219,288,384,13509,37525,47528,12.215,large,large,large,218.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/148.png,cvc_seq_7,0,134,133,265,228,288,384,9913,27536,35200,8.964,large,large,medium,187.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/149.png,cvc_seq_7,0,130,154,258,242,288,384,9192,25533,31892,8.312,large,medium,medium,180.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/15.png,cvc_seq_1,0,40,96,307,279,288,384,36222,100617,136978,32.753,large,large,large,357.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/150.png,cvc_seq_7,0,114,162,236,246,288,384,8495,23597,29042,7.681,large,medium,medium,173.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/151.png,cvc_seq_7,0,85,176,190,256,288,384,6858,19050,23850,6.201,large,medium,medium,155.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/152.png,cvc_seq_8,0,132,126,329,259,288,384,20696,57489,73700,18.714,large,large,large,270.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/153.png,cvc_seq_8,0,117,63,231,133,288,384,6318,17550,22681,5.713,large,medium,medium,149.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/154.png,cvc_seq_8,0,141,112,165,149,288,384,600,1667,2639,0.543,medium,small,small,46.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/155.png,cvc_seq_8,0,151,81,191,145,288,384,1680,4667,7403,1.519,medium,medium,small,77.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/156.png,cvc_seq_8,0,122,43,191,148,288,384,4693,13036,20611,4.244,large,medium,medium,128.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/157.png,cvc_seq_8,0,121,14,211,144,288,384,7502,20839,33114,6.783,large,medium,medium,162.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/158.png,cvc_seq_8,0,94,33,160,135,288,384,4493,12481,19169,4.063,large,medium,medium,126.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/159.png,cvc_seq_8,0,95,70,137,134,288,384,1808,5022,7764,1.635,medium,medium,small,80.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/16.png,cvc_seq_1,0,229,171,356,279,288,384,7893,21925,38756,7.137,large,medium,medium,167.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/160.png,cvc_seq_8,0,115,20,207,150,288,384,8216,22822,33842,7.429,large,medium,medium,170.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/161.png,cvc_seq_8,0,106,58,161,137,288,384,3163,8786,12444,2.86,medium,medium,medium,105.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/162.png,cvc_seq_8,0,141,34,220,131,288,384,5105,14181,21778,4.616,large,medium,medium,134.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/163.png,cvc_seq_8,0,159,18,249,121,288,384,5162,14339,26289,4.668,large,medium,medium,135.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/164.png,cvc_seq_8,0,48,66,99,148,288,384,3163,8786,11989,2.86,medium,medium,medium,105.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/165.png,cvc_seq_8,0,68,61,152,185,288,384,7347,20408,29514,6.643,large,medium,medium,161.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/166.png,cvc_seq_8,0,59,69,157,187,288,384,7332,20367,32725,6.63,large,medium,medium,161.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/167.png,cvc_seq_8,0,113,30,180,102,288,384,3503,9731,13789,3.167,large,medium,medium,111.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/168.png,cvc_seq_8,0,138,64,226,145,288,384,4954,13761,20272,4.48,large,medium,medium,132.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/169.png,cvc_seq_8,0,161,40,262,136,288,384,6614,18372,27483,5.981,large,medium,medium,152.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/17.png,cvc_seq_1,0,158,166,356,279,288,384,14942,41506,63017,13.511,large,large,large,229.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/170.png,cvc_seq_8,0,168,27,251,104,288,384,4667,12964,18200,4.22,large,medium,medium,128.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/171.png,cvc_seq_8,0,179,21,266,105,288,384,5203,14453,20778,4.705,large,medium,medium,135.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/172.png,cvc_seq_8,0,189,12,259,67,288,384,3113,8647,11044,2.815,medium,medium,medium,104.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/173.png,cvc_seq_8,0,86,79,194,217,288,384,10891,30253,42086,9.848,large,large,large,196.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/174.png,cvc_seq_8,0,109,106,261,239,288,384,11569,32136,56950,10.461,large,large,large,202.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/175.png,cvc_seq_8,0,85,157,238,280,288,384,15186,42183,53044,13.732,large,large,large,231.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/176.png,cvc_seq_8,0,87,127,237,264,288,384,12779,35497,57883,11.555,large,large,large,212.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/177.png,cvc_seq_8,0,87,188,211,279,288,384,8205,22792,31944,7.419,large,medium,medium,170.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/178.png,cvc_seq_9,0,233,90,259,111,288,384,424,1178,1650,0.383,medium,small,small,38.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/179.png,cvc_seq_9,0,268,127,336,184,288,384,2998,8328,11117,2.711,medium,medium,medium,103.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/18.png,cvc_seq_1,0,149,201,350,279,288,384,11657,32381,44328,10.541,large,large,large,203.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/180.png,cvc_seq_9,0,227,142,299,202,288,384,3392,9422,12369,3.067,large,medium,medium,109.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/181.png,cvc_seq_9,0,232,138,300,198,288,384,3214,8928,11692,2.906,medium,medium,medium,106.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/182.png,cvc_seq_9,0,220,134,293,193,288,384,3509,9747,12333,3.173,large,medium,medium,111.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/183.png,cvc_seq_9,0,217,132,288,190,288,384,3267,9075,11800,2.954,medium,medium,medium,107.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/184.png,cvc_seq_9,0,192,120,260,176,288,384,3160,8778,10925,2.857,medium,medium,medium,105.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/185.png,cvc_seq_9,0,184,120,271,190,288,384,4893,13592,17356,4.424,large,medium,medium,131.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/186.png,cvc_seq_9,0,169,112,284,201,288,384,8145,22625,29000,7.365,large,medium,medium,169.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/187.png,cvc_seq_9,0,138,80,283,193,288,384,13122,36450,46233,11.865,large,large,large,215.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/188.png,cvc_seq_9,0,132,70,277,189,288,384,13230,36750,48667,11.963,large,large,large,216.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/189.png,cvc_seq_9,0,135,93,225,165,288,384,5153,14314,18453,4.659,large,medium,medium,135.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/19.png,cvc_seq_1,0,60,164,325,279,288,384,18092,50256,85711,16.359,large,large,large,253.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/190.png,cvc_seq_9,0,153,125,225,186,288,384,3382,9394,12572,3.058,large,medium,medium,109.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/191.png,cvc_seq_9,0,216,123,260,157,288,384,1267,3519,4375,1.146,medium,medium,small,66.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/192.png,cvc_seq_9,0,220,89,265,128,288,384,1441,4003,5111,1.303,medium,medium,small,71.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/193.png,cvc_seq_9,0,254,120,312,172,288,384,2368,6578,8686,2.141,medium,medium,small,91.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/194.png,cvc_seq_9,0,188,129,271,203,288,384,4791,13308,17500,4.332,large,medium,medium,130.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/195.png,cvc_seq_9,0,191,126,272,196,288,384,4349,12081,16172,3.932,large,medium,medium,124.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/196.png,cvc_seq_9,0,195,123,276,192,288,384,4381,12169,15944,3.961,large,medium,medium,124.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/197.png,cvc_seq_9,0,206,110,290,183,288,384,4713,13092,17472,4.262,large,medium,medium,129.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/198.png,cvc_seq_9,0,222,97,301,168,288,384,4463,12397,16000,4.036,large,medium,medium,125.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/199.png,cvc_seq_9,0,224,96,307,166,288,384,4370,12139,16567,3.951,large,medium,medium,124.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/2.png,cvc_seq_1,0,40,127,268,279,288,384,20532,57033,97325,18.566,large,large,large,269.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/20.png,cvc_seq_1,0,50,162,304,279,288,384,18086,50239,83583,16.354,large,large,large,252.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/200.png,cvc_seq_10,0,147,135,235,218,288,384,5819,16164,20767,5.262,large,medium,medium,143.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/201.png,cvc_seq_10,0,150,145,242,228,288,384,5889,16358,21700,5.325,large,medium,medium,144.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/202.png,cvc_seq_10,0,146,140,239,220,288,384,5457,15158,21150,4.934,large,medium,medium,138.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/203.png,cvc_seq_10,0,261,137,332,220,288,384,4994,13872,16800,4.516,large,medium,medium,132.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/204.png,cvc_seq_10,0,257,146,319,216,288,384,3519,9775,12425,3.182,large,medium,medium,111.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/205.png,cvc_seq_10,0,193,203,256,262,288,384,3027,8408,10667,2.737,medium,medium,medium,103.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/206.png,cvc_seq_11,0,43,183,315,261,288,384,8644,24011,59908,7.816,large,medium,large,174.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/207.png,cvc_seq_11,0,43,176,327,254,288,384,8722,24228,62542,7.887,large,medium,large,175.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/208.png,cvc_seq_11,0,122,163,308,229,288,384,4154,11539,34803,3.756,large,medium,medium,121.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/209.png,cvc_seq_11,0,188,210,325,268,288,384,2830,7861,22617,2.559,medium,medium,medium,100.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/21.png,cvc_seq_1,0,40,123,285,279,288,384,29873,82981,107283,27.012,large,large,large,325.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/210.png,cvc_seq_11,0,43,82,354,273,288,384,28064,77956,166400,25.376,large,large,large,315.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/211.png,cvc_seq_11,0,43,69,352,246,288,384,21724,60344,153278,19.643,large,large,large,277.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/212.png,cvc_seq_11,0,43,83,341,259,288,384,17050,47361,147008,15.417,large,large,large,245.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/213.png,cvc_seq_11,0,52,99,334,219,288,384,16191,44975,95119,14.64,large,large,large,239.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/214.png,cvc_seq_11,0,68,175,313,265,288,384,10604,29456,62183,9.588,large,large,large,193.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/215.png,cvc_seq_11,0,137,191,304,279,288,384,10240,28444,41533,9.259,large,large,large,190.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/216.png,cvc_seq_11,0,57,171,287,271,288,384,12285,34125,64808,11.108,large,large,large,208.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/217.png,cvc_seq_11,0,148,106,295,215,288,384,11071,30753,45222,10.011,large,large,large,197.9
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/218.png,cvc_seq_11,0,163,151,290,257,288,384,8619,23942,38044,7.794,large,medium,medium,174.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/219.png,cvc_seq_11,0,113,164,288,249,288,384,7059,19608,42044,6.383,large,medium,large,158.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/22.png,cvc_seq_1,0,40,20,343,279,288,384,53583,148842,219556,48.451,large,large,large,435.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/220.png,cvc_seq_11,0,182,187,282,264,288,384,4939,13719,21883,4.466,large,medium,medium,132.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/221.png,cvc_seq_11,0,151,188,277,259,288,384,4055,11264,25400,3.667,large,medium,medium,119.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/222.png,cvc_seq_11,0,190,195,278,257,288,384,3450,9583,15575,3.12,large,medium,medium,110.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/223.png,cvc_seq_11,0,173,188,253,257,288,384,3348,9300,15750,3.027,large,medium,medium,108.8
