dataset,image,mask,group_id,n_polyp,has_polyp,img_h,img_w
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/11.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/11.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/110.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/110.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/111.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/111.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/112.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/112.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/113.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/113.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/114.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/114.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/115.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/115.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/116.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/116.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/117.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/117.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/118.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/118.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/119.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/119.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/12.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/12.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/120.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/120.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/121.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/121.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/122.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/122.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/123.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/123.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/124.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/124.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/125.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/125.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/126.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/126.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/127.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/127.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/128.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/128.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/129.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/129.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/13.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/13.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/130.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/130.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/131.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/131.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/132.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/132.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/133.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/133.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/134.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/134.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/135.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/135.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/136.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/136.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/137.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/137.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/138.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/138.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/139.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/139.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/14.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/14.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/140.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/140.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/141.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/141.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/142.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/142.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/143.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/143.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/144.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/144.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/145.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/145.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/146.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/146.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/147.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/147.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/148.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/148.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/149.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/149.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/15.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/15.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/150.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/150.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/151.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/151.png,cvc_seq_7,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/152.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/152.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/153.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/153.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/154.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/154.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/155.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/155.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/156.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/156.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/157.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/157.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/158.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/158.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/159.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/159.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/16.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/16.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/160.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/160.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/161.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/161.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/162.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/162.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/163.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/163.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/164.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/164.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/165.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/165.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/166.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/166.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/167.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/167.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/168.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/168.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/169.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/169.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/17.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/17.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/170.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/170.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/171.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/171.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/172.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/172.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/173.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/173.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/174.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/174.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/175.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/175.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/176.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/176.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/177.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/177.png,cvc_seq_8,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/178.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/178.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/179.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/179.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/18.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/18.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/180.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/180.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/181.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/181.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/182.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/182.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/183.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/183.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/184.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/184.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/185.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/185.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/186.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/186.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/187.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/187.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/188.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/188.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/189.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/189.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/19.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/19.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/190.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/190.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/191.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/191.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/192.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/192.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/193.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/193.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/194.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/194.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/195.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/195.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/196.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/196.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/197.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/197.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/198.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/198.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/199.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/199.png,cvc_seq_9,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/2.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/2.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/20.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/20.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/200.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/200.png,cvc_seq_10,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/201.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/201.png,cvc_seq_10,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/202.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/202.png,cvc_seq_10,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/203.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/203.png,cvc_seq_10,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/204.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/204.png,cvc_seq_10,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/205.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/205.png,cvc_seq_10,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/206.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/206.png,cvc_seq_11,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/207.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/207.png,cvc_seq_11,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/208.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/208.png,cvc_seq_11,1,1,288,384
