dataset,image_path,mask_path,group_id,grouping_level,split
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0vtox5ain6099360pu62rp.jpg,C:\VISKOM\kvasir-seg\masks\cju0vtox5ain6099360pu62rp.jpg,KvasirSEG_cju0vtox5ain6099360pu62rp,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju13cgqmnhwn0988yrainhcp.jpg,C:\VISKOM\kvasir-seg\masks\cju13cgqmnhwn0988yrainhcp.jpg,KvasirSEG_cju13cgqmnhwn0988yrainhcp,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju13fwthn9mq0835gacxgy01.jpg,C:\VISKOM\kvasir-seg\masks\cju13fwthn9mq0835gacxgy01.jpg,KvasirSEG_cju13fwthn9mq0835gacxgy01,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju13hp5rnbjx0835bf0jowgx.jpg,C:\VISKOM\kvasir-seg\masks\cju13hp5rnbjx0835bf0jowgx.jpg,KvasirSEG_cju13hp5rnbjx0835bf0jowgx,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju14g8o4xui30878gkgbrvqj.jpg,C:\VISKOM\kvasir-seg\masks\cju14g8o4xui30878gkgbrvqj.jpg,KvasirSEG_cju14g8o4xui30878gkgbrvqj,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju14hjh2ob2o0835ouz3r5aa.jpg,C:\VISKOM\kvasir-seg\masks\cju14hjh2ob2o0835ouz3r5aa.jpg,KvasirSEG_cju14hjh2ob2o0835ouz3r5aa,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju14pxbaoksp0835qzorx6g6.jpg,C:\VISKOM\kvasir-seg\masks\cju14pxbaoksp0835qzorx6g6.jpg,KvasirSEG_cju14pxbaoksp0835qzorx6g6,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju15czxqp3lv0835jvhgzurz.jpg,C:\VISKOM\kvasir-seg\masks\cju15czxqp3lv0835jvhgzurz.jpg,KvasirSEG_cju15czxqp3lv0835jvhgzurz,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju15jr8jz8sb0855ukmkswkz.jpg,C:\VISKOM\kvasir-seg\masks\cju15jr8jz8sb0855ukmkswkz.jpg,KvasirSEG_cju15jr8jz8sb0855ukmkswkz,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju15l5ubz9yh0855b3ivdpse.jpg,C:\VISKOM\kvasir-seg\masks\cju15l5ubz9yh0855b3ivdpse.jpg,KvasirSEG_cju15l5ubz9yh0855b3ivdpse,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju15mhjczc8z0801kit5c6di.jpg,C:\VISKOM\kvasir-seg\masks\cju15mhjczc8z0801kit5c6di.jpg,KvasirSEG_cju15mhjczc8z0801kit5c6di,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju15ptjtppz40988odsm9azx.jpg,C:\VISKOM\kvasir-seg\masks\cju15ptjtppz40988odsm9azx.jpg,KvasirSEG_cju15ptjtppz40988odsm9azx,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju15wdt3zla10801odjiw7sy.jpg,C:\VISKOM\kvasir-seg\masks\cju15wdt3zla10801odjiw7sy.jpg,KvasirSEG_cju15wdt3zla10801odjiw7sy,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju160wshltz10993i1gmqxbe.jpg,C:\VISKOM\kvasir-seg\masks\cju160wshltz10993i1gmqxbe.jpg,KvasirSEG_cju160wshltz10993i1gmqxbe,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju16ach3m1da0993r1dq3sn2.jpg,C:\VISKOM\kvasir-seg\masks\cju16ach3m1da0993r1dq3sn2.jpg,KvasirSEG_cju16ach3m1da0993r1dq3sn2,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju16b6ynq8e40988m8vx0xnj.jpg,C:\VISKOM\kvasir-seg\masks\cju16b6ynq8e40988m8vx0xnj.jpg,KvasirSEG_cju16b6ynq8e40988m8vx0xnj,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju16d65tzw9d0799ouslsw25.jpg,C:\VISKOM\kvasir-seg\masks\cju16d65tzw9d0799ouslsw25.jpg,KvasirSEG_cju16d65tzw9d0799ouslsw25,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju16fpvhzypl0799p9phnlx6.jpg,C:\VISKOM\kvasir-seg\masks\cju16fpvhzypl0799p9phnlx6.jpg,KvasirSEG_cju16fpvhzypl0799p9phnlx6,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju16jgnyzp970878melv7r25.jpg,C:\VISKOM\kvasir-seg\masks\cju16jgnyzp970878melv7r25.jpg,KvasirSEG_cju16jgnyzp970878melv7r25,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju16whaj0e7n0855q7b6cjkm.jpg,C:\VISKOM\kvasir-seg\masks\cju16whaj0e7n0855q7b6cjkm.jpg,KvasirSEG_cju16whaj0e7n0855q7b6cjkm,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju171py4qiha0835u8sl59ds.jpg,C:\VISKOM\kvasir-seg\masks\cju171py4qiha0835u8sl59ds.jpg,KvasirSEG_cju171py4qiha0835u8sl59ds,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju175facms5f0993a5tjikvt.jpg,C:\VISKOM\kvasir-seg\masks\cju175facms5f0993a5tjikvt.jpg,KvasirSEG_cju175facms5f0993a5tjikvt,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17bz250pgd0799u1hqkj5u.jpg,C:\VISKOM\kvasir-seg\masks\cju17bz250pgd0799u1hqkj5u.jpg,KvasirSEG_cju17bz250pgd0799u1hqkj5u,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17g6ykn1cs0993dww6qdi8.jpg,C:\VISKOM\kvasir-seg\masks\cju17g6ykn1cs0993dww6qdi8.jpg,KvasirSEG_cju17g6ykn1cs0993dww6qdi8,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17hw9hr9c5098800fu4u8e.jpg,C:\VISKOM\kvasir-seg\masks\cju17hw9hr9c5098800fu4u8e.jpg,KvasirSEG_cju17hw9hr9c5098800fu4u8e,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17otoe119u0799nqcbl8n1.jpg,C:\VISKOM\kvasir-seg\masks\cju17otoe119u0799nqcbl8n1.jpg,KvasirSEG_cju17otoe119u0799nqcbl8n1,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17r8il13910799dr2wme2e.jpg,C:\VISKOM\kvasir-seg\masks\cju17r8il13910799dr2wme2e.jpg,KvasirSEG_cju17r8il13910799dr2wme2e,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17v6ih0u7808783zcbg1jy.jpg,C:\VISKOM\kvasir-seg\masks\cju17v6ih0u7808783zcbg1jy.jpg,KvasirSEG_cju17v6ih0u7808783zcbg1jy,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17x0j4nfc10993y31pvlgs.jpg,C:\VISKOM\kvasir-seg\masks\cju17x0j4nfc10993y31pvlgs.jpg,KvasirSEG_cju17x0j4nfc10993y31pvlgs,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju17z0qongpa0993de4boim4.jpg,C:\VISKOM\kvasir-seg\masks\cju17z0qongpa0993de4boim4.jpg,KvasirSEG_cju17z0qongpa0993de4boim4,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1819curo000988pd5xcqme.jpg,C:\VISKOM\kvasir-seg\masks\cju1819curo000988pd5xcqme.jpg,KvasirSEG_cju1819curo000988pd5xcqme,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju183od81ff608017ekzif89.jpg,C:\VISKOM\kvasir-seg\masks\cju183od81ff608017ekzif89.jpg,KvasirSEG_cju183od81ff608017ekzif89,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1871y11d6r0799k6cw4yze.jpg,C:\VISKOM\kvasir-seg\masks\cju1871y11d6r0799k6cw4yze.jpg,KvasirSEG_cju1871y11d6r0799k6cw4yze,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju18849rrsgr0988p90hkygb.jpg,C:\VISKOM\kvasir-seg\masks\cju18849rrsgr0988p90hkygb.jpg,KvasirSEG_cju18849rrsgr0988p90hkygb,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju18gzrq18zw0878wbf4ftw6.jpg,C:\VISKOM\kvasir-seg\masks\cju18gzrq18zw0878wbf4ftw6.jpg,KvasirSEG_cju18gzrq18zw0878wbf4ftw6,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju18ibp219ub08783i6o98g7.jpg,C:\VISKOM\kvasir-seg\masks\cju18ibp219ub08783i6o98g7.jpg,KvasirSEG_cju18ibp219ub08783i6o98g7,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju18kevfrojc0835bn90f1in.jpg,C:\VISKOM\kvasir-seg\masks\cju18kevfrojc0835bn90f1in.jpg,KvasirSEG_cju18kevfrojc0835bn90f1in,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1alwgo30z60855fm3y23sm.jpg,C:\VISKOM\kvasir-seg\masks\cju1alwgo30z60855fm3y23sm.jpg,KvasirSEG_cju1alwgo30z60855fm3y23sm,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1amqw6p8pw0993d9gc5crl.jpg,C:\VISKOM\kvasir-seg\masks\cju1amqw6p8pw0993d9gc5crl.jpg,KvasirSEG_cju1amqw6p8pw0993d9gc5crl,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1aqqv02qwz0878a5cyhr67.jpg,C:\VISKOM\kvasir-seg\masks\cju1aqqv02qwz0878a5cyhr67.jpg,KvasirSEG_cju1aqqv02qwz0878a5cyhr67,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1ats0y372e08011yazcsxm.jpg,C:\VISKOM\kvasir-seg\masks\cju1ats0y372e08011yazcsxm.jpg,KvasirSEG_cju1ats0y372e08011yazcsxm,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1b0y2e396p08558ois175d.jpg,C:\VISKOM\kvasir-seg\masks\cju1b0y2e396p08558ois175d.jpg,KvasirSEG_cju1b0y2e396p08558ois175d,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1b3zgj3d8e0801kpolea6c.jpg,C:\VISKOM\kvasir-seg\masks\cju1b3zgj3d8e0801kpolea6c.jpg,KvasirSEG_cju1b3zgj3d8e0801kpolea6c,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1b75x63ddl0799sdp0i2j3.jpg,C:\VISKOM\kvasir-seg\masks\cju1b75x63ddl0799sdp0i2j3.jpg,KvasirSEG_cju1b75x63ddl0799sdp0i2j3,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1bhnfitmge0835ynls0l6b.jpg,C:\VISKOM\kvasir-seg\masks\cju1bhnfitmge0835ynls0l6b.jpg,KvasirSEG_cju1bhnfitmge0835ynls0l6b,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1bm8063nmh07996rsjjemq.jpg,C:\VISKOM\kvasir-seg\masks\cju1bm8063nmh07996rsjjemq.jpg,KvasirSEG_cju1bm8063nmh07996rsjjemq,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1brhsj3rls0855a1vgdlen.jpg,C:\VISKOM\kvasir-seg\masks\cju1brhsj3rls0855a1vgdlen.jpg,KvasirSEG_cju1brhsj3rls0855a1vgdlen,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1c0qb4tzi308355wtsnp0y.jpg,C:\VISKOM\kvasir-seg\masks\cju1c0qb4tzi308355wtsnp0y.jpg,KvasirSEG_cju1c0qb4tzi308355wtsnp0y,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1c3218411b08014g9f6gig.jpg,C:\VISKOM\kvasir-seg\masks\cju1c3218411b08014g9f6gig.jpg,KvasirSEG_cju1c3218411b08014g9f6gig,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1c4fcu40hl07992b8gj0c8.jpg,C:\VISKOM\kvasir-seg\masks\cju1c4fcu40hl07992b8gj0c8.jpg,KvasirSEG_cju1c4fcu40hl07992b8gj0c8,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1c6yfz42md08550zgoz3pw.jpg,C:\VISKOM\kvasir-seg\masks\cju1c6yfz42md08550zgoz3pw.jpg,KvasirSEG_cju1c6yfz42md08550zgoz3pw,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1c8ffau5770835g0g343o8.jpg,C:\VISKOM\kvasir-seg\masks\cju1c8ffau5770835g0g343o8.jpg,KvasirSEG_cju1c8ffau5770835g0g343o8,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cbokpuiw70988j4lq1fpi.jpg,C:\VISKOM\kvasir-seg\masks\cju1cbokpuiw70988j4lq1fpi.jpg,KvasirSEG_cju1cbokpuiw70988j4lq1fpi,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cdxvz48hw0801i0fjwcnk.jpg,C:\VISKOM\kvasir-seg\masks\cju1cdxvz48hw0801i0fjwcnk.jpg,KvasirSEG_cju1cdxvz48hw0801i0fjwcnk,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cfhyg48bb0799cl5pr2jh.jpg,C:\VISKOM\kvasir-seg\masks\cju1cfhyg48bb0799cl5pr2jh.jpg,KvasirSEG_cju1cfhyg48bb0799cl5pr2jh,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cj3f0qi5n0993ut8f49rj.jpg,C:\VISKOM\kvasir-seg\masks\cju1cj3f0qi5n0993ut8f49rj.jpg,KvasirSEG_cju1cj3f0qi5n0993ut8f49rj,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cnnziug1l0835yh4ropyg.jpg,C:\VISKOM\kvasir-seg\masks\cju1cnnziug1l0835yh4ropyg.jpg,KvasirSEG_cju1cnnziug1l0835yh4ropyg,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cqc7n4gpy0855jt246k68.jpg,C:\VISKOM\kvasir-seg\masks\cju1cqc7n4gpy0855jt246k68.jpg,KvasirSEG_cju1cqc7n4gpy0855jt246k68,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1csmlc4ht10799b8ymmghg.jpg,C:\VISKOM\kvasir-seg\masks\cju1csmlc4ht10799b8ymmghg.jpg,KvasirSEG_cju1csmlc4ht10799b8ymmghg,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cu1u2474n0878tt7v4tdr.jpg,C:\VISKOM\kvasir-seg\masks\cju1cu1u2474n0878tt7v4tdr.jpg,KvasirSEG_cju1cu1u2474n0878tt7v4tdr,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cvkfwqrec0993wbp1jlzm.jpg,C:\VISKOM\kvasir-seg\masks\cju1cvkfwqrec0993wbp1jlzm.jpg,KvasirSEG_cju1cvkfwqrec0993wbp1jlzm,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1cyjb5qtie0993njqne9m3.jpg,C:\VISKOM\kvasir-seg\masks\cju1cyjb5qtie0993njqne9m3.jpg,KvasirSEG_cju1cyjb5qtie0993njqne9m3,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1d31sp4d4k0878r3fr02ul.jpg,C:\VISKOM\kvasir-seg\masks\cju1d31sp4d4k0878r3fr02ul.jpg,KvasirSEG_cju1d31sp4d4k0878r3fr02ul,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1d50a94qf50855wsowacrc.jpg,C:\VISKOM\kvasir-seg\masks\cju1d50a94qf50855wsowacrc.jpg,KvasirSEG_cju1d50a94qf50855wsowacrc,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1d96gsv62d09881b3wecw2.jpg,C:\VISKOM\kvasir-seg\masks\cju1d96gsv62d09881b3wecw2.jpg,KvasirSEG_cju1d96gsv62d09881b3wecw2,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1ddr6p4k5z08780uuuzit2.jpg,C:\VISKOM\kvasir-seg\masks\cju1ddr6p4k5z08780uuuzit2.jpg,KvasirSEG_cju1ddr6p4k5z08780uuuzit2,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1dfeupuzlw0835gnxip369.jpg,C:\VISKOM\kvasir-seg\masks\cju1dfeupuzlw0835gnxip369.jpg,KvasirSEG_cju1dfeupuzlw0835gnxip369,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1dg44i4z3w0801nyz4p6zf.jpg,C:\VISKOM\kvasir-seg\masks\cju1dg44i4z3w0801nyz4p6zf.jpg,KvasirSEG_cju1dg44i4z3w0801nyz4p6zf,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1dhfok4mhe0878jlgrag0h.jpg,C:\VISKOM\kvasir-seg\masks\cju1dhfok4mhe0878jlgrag0h.jpg,KvasirSEG_cju1dhfok4mhe0878jlgrag0h,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1dia8hvc6v098827mgffnm.jpg,C:\VISKOM\kvasir-seg\masks\cju1dia8hvc6v098827mgffnm.jpg,KvasirSEG_cju1dia8hvc6v098827mgffnm,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1djtprvd7b0988thwwrg09.jpg,C:\VISKOM\kvasir-seg\masks\cju1djtprvd7b0988thwwrg09.jpg,KvasirSEG_cju1djtprvd7b0988thwwrg09,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1dnz61vfp40988e78bkjga.jpg,C:\VISKOM\kvasir-seg\masks\cju1dnz61vfp40988e78bkjga.jpg,KvasirSEG_cju1dnz61vfp40988e78bkjga,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1dq3x1vgx109889c7wyirg.jpg,C:\VISKOM\kvasir-seg\masks\cju1dq3x1vgx109889c7wyirg.jpg,KvasirSEG_cju1dq3x1vgx109889c7wyirg,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1drnhbrb9409935wi7vkhg.jpg,C:\VISKOM\kvasir-seg\masks\cju1drnhbrb9409935wi7vkhg.jpg,KvasirSEG_cju1drnhbrb9409935wi7vkhg,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1efbr0rqxz09931z0lf4vf.jpg,C:\VISKOM\kvasir-seg\masks\cju1efbr0rqxz09931z0lf4vf.jpg,KvasirSEG_cju1efbr0rqxz09931z0lf4vf,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1egh885m1l0855ci1lt37c.jpg,C:\VISKOM\kvasir-seg\masks\cju1egh885m1l0855ci1lt37c.jpg,KvasirSEG_cju1egh885m1l0855ci1lt37c,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1egx9pvz2n0988eoy8jp23.jpg,C:\VISKOM\kvasir-seg\masks\cju1egx9pvz2n0988eoy8jp23.jpg,KvasirSEG_cju1egx9pvz2n0988eoy8jp23,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1ejj7dvqfa0835ra184v5m.jpg,C:\VISKOM\kvasir-seg\masks\cju1ejj7dvqfa0835ra184v5m.jpg,KvasirSEG_cju1ejj7dvqfa0835ra184v5m,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1erep75us208553i4ofwwe.jpg,C:\VISKOM\kvasir-seg\masks\cju1erep75us208553i4ofwwe.jpg,KvasirSEG_cju1erep75us208553i4ofwwe,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1euant5l960878iqj5vvto.jpg,C:\VISKOM\kvasir-seg\masks\cju1euant5l960878iqj5vvto.jpg,KvasirSEG_cju1euant5l960878iqj5vvto,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1euuc65wm00799m4sjdnnn.jpg,C:\VISKOM\kvasir-seg\masks\cju1euuc65wm00799m4sjdnnn.jpg,KvasirSEG_cju1euuc65wm00799m4sjdnnn,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1ewnoh5z030855vpex9uzt.jpg,C:\VISKOM\kvasir-seg\masks\cju1ewnoh5z030855vpex9uzt.jpg,KvasirSEG_cju1ewnoh5z030855vpex9uzt,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1expq45zst0855rjqwwj4m.jpg,C:\VISKOM\kvasir-seg\masks\cju1expq45zst0855rjqwwj4m.jpg,KvasirSEG_cju1expq45zst0855rjqwwj4m,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1f15k3w4ct0835cmde6ypo.jpg,C:\VISKOM\kvasir-seg\masks\cju1f15k3w4ct0835cmde6ypo.jpg,KvasirSEG_cju1f15k3w4ct0835cmde6ypo,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1f320ewfyu0988ndz6blh5.jpg,C:\VISKOM\kvasir-seg\masks\cju1f320ewfyu0988ndz6blh5.jpg,KvasirSEG_cju1f320ewfyu0988ndz6blh5,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1f5x1164xv08555654c24r.jpg,C:\VISKOM\kvasir-seg\masks\cju1f5x1164xv08555654c24r.jpg,KvasirSEG_cju1f5x1164xv08555654c24r,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1f79yhsb5w0993txub59ol.jpg,C:\VISKOM\kvasir-seg\masks\cju1f79yhsb5w0993txub59ol.jpg,KvasirSEG_cju1f79yhsb5w0993txub59ol,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1f8w0t65en0799m9oacq0q.jpg,C:\VISKOM\kvasir-seg\masks\cju1f8w0t65en0799m9oacq0q.jpg,KvasirSEG_cju1f8w0t65en0799m9oacq0q,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1fb9236a110801yvg0fwju.jpg,C:\VISKOM\kvasir-seg\masks\cju1fb9236a110801yvg0fwju.jpg,KvasirSEG_cju1fb9236a110801yvg0fwju,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1ffnjn6ctm08015perkg37.jpg,C:\VISKOM\kvasir-seg\masks\cju1ffnjn6ctm08015perkg37.jpg,KvasirSEG_cju1ffnjn6ctm08015perkg37,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1fj6axwfp30835ukhuzhw9.jpg,C:\VISKOM\kvasir-seg\masks\cju1fj6axwfp30835ukhuzhw9.jpg,KvasirSEG_cju1fj6axwfp30835ukhuzhw9,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1fjsb4sipq09931lvd8e41.jpg,C:\VISKOM\kvasir-seg\masks\cju1fjsb4sipq09931lvd8e41.jpg,KvasirSEG_cju1fjsb4sipq09931lvd8e41,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1fm3id6gl50801r3fok20c.jpg,C:\VISKOM\kvasir-seg\masks\cju1fm3id6gl50801r3fok20c.jpg,KvasirSEG_cju1fm3id6gl50801r3fok20c,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1fmsyf6gxb0801cimx2gle.jpg,C:\VISKOM\kvasir-seg\masks\cju1fmsyf6gxb0801cimx2gle.jpg,KvasirSEG_cju1fmsyf6gxb0801cimx2gle,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju1fr4etsmrr09933u4t4aql.jpg,C:\VISKOM\kvasir-seg\masks\cju1fr4etsmrr09933u4t4aql.jpg,KvasirSEG_cju1fr4etsmrr09933u4t4aql,image,train
